ObjectPath,Content,SceneName,Translated,TranslatedText
"LFA Case 7 Emergence/State Canvas/  (Hidden) Induction 1/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 0 Help and Tour/State Canvas/Modeling SubPage/Back UI Arrow Button (2)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 7 Emergence/State Canvas/  (Hidden) Induction 2/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 5 Maintenance/State Canvas/Topic Slide 7 Last 2/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 7 Emergence/State Canvas/State 2 - 5/5 (hidden) take Snapshot/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 8 CO2 Absorbents/State Canvas/Topic Slide 1/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 7 Emergence/State Canvas/  (Hidden) Maintenance 2/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 3 Oxygen Delivery/State Canvas/State 4 - 3/3/Plots Back UI Arrow Button (3)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 8 CO2 Absorbents/State Canvas/State 1 - 1/2/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"Main UI Canvas/Help Button/Text","Help",Korean LFA ASA 2022,Y,"Bantuan"
"LFA Initial Blank State/State Canvas/Gas Sampling off (1)/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 8 CO2 Absorbents/State Canvas/State 1 - 2/2/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"Help Canvas/Exit Help Button - APSF/Text","Exit Help",Korean LFA ASA 2022,Y,"Keluar Bantuan"
"LFA Case 6 FGF After Induction/State Canvas/(hidden) 5-min preox/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 1 Intro KOREAN/State Canvas/ScopeandApproach-1/Continue UI Arrow Button/Text","계속하다",Korean LFA ASA 2022,Y,"계속하다"
"LFA Case 7 Emergence/State Canvas/State 3 - 6/7 PLOTS 2/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 8 CO2 Absorbents/State Canvas/Topic Slide 3/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 1 Intro KOREAN/State Canvas/UsefulDefinitions-3/Continue UI Arrow Button/Text","계속하다",Korean LFA ASA 2022,Y,"계속하다"
"LFA Case 7 Emergence/State Canvas/State 1 - 4/4 PLOTS/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 4 Anesthetic Delivery/State Canvas/State 2 - 5/5 PLOTS/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 1 Intro KOREAN/State Canvas/Why Bother-2/Continue UI Arrow Button/Text","계속하다",Korean LFA ASA 2022,Y,"계속하다"
"LFA Case 7 Emergence/State Canvas/State 2 - 5/5 (hidden) take Snapshot/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 1 Intro KOREAN/State Canvas/AnatomyofCourse/Continue UI Arrow Button/Text","계속하다",Korean LFA ASA 2022,Y,"계속하다"
"LFA Case 1 Intro KOREAN/State Canvas/Why Bother-1/Continue UI Arrow Button/Text","계속하다",Korean LFA ASA 2022,Y,"계속하다"
"LFA Case 7 Emergence/State Canvas/State 1 - 4/4 PLOTS/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 0 Help and Tour/State Canvas/Anesthesia SubPage/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 7 Emergence/State Canvas/  (Hidden) Maintenance 2/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 7 Emergence/State Canvas/State 1 - 4/4 PLOTS/Plots Back UI Arrow Button (6)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"Tour UI Canvas/Tour Of Sim/Plots 3/MAIN/(dummy) Click to Anesthesia Machine Button (1)/Text","Anesthesia
Machine
Simulation",Korean LFA ASA 2022,Y,"Simulasi
Mesin
Anestesi"
"LFA Case 3 Oxygen Delivery/State Canvas/State 3 - 3/9 Take Snapshot/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 7 Emergence/State Canvas/  (Hidden) Induction 3/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 4 Anesthetic Delivery/State Canvas/State 2 - 4/5 PLOTS/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 8 CO2 Absorbents/State Canvas/Topic Slide 1/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 0 Help and Tour/State Canvas/Anesthesia SubPage/Anesthesia Machine Simulation Title","Anesthesia Machine Modeling and Simulation",Korean LFA ASA 2022,Y,"Pemodelan dan Simulasi Mesin Anestesi"
"Main UI Canvas/Clock Icon/HHMMSS Text","00:00:00",Korean LFA ASA 2022,Y,"00:00:00"
"LFA Case 4 Anesthetic Delivery/State Canvas/First Topic Slide after 2b/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 7 Emergence/State Canvas/  (Hidden) Maintenance 1/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 8 CO2 Absorbents/State Canvas/Topic Slide 8/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 7 Emergence/State Canvas/State 3 - 6/7 PLOTS 2/Plots Back UI Arrow Button (7)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 7 Emergence/State Canvas/State 3 - 6/7 PLOTS 2/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 3 Oxygen Delivery/State Canvas/State 3 - 9/9 PLOTS/Plots Back UI Arrow Button (2)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 4 Anesthetic Delivery/State Canvas/State 1 - 3/3 Hidden Snapshot/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 5 Maintenance/State Canvas/Topic Slide 5 What if FGF too low?/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 1 Intro KOREAN/State Canvas/AnatomyofCourse-2/Back UI Arrow Button/Text","뒤로",Korean LFA ASA 2022,Y,"뒤로"
"LFA Case 8 CO2 Absorbents/State Canvas/Topic Slide 3/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 4 Anesthetic Delivery/State Canvas/State 3 - 3/4/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 7 Emergence/State Canvas/State 3 - 5/7 PLOTS 1/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 1 Intro KOREAN/State Canvas/UsefulDefinitions-3/Back UI Arrow Button/Text","뒤로",Korean LFA ASA 2022,Y,"뒤로"
"LFA Case 8 CO2 Absorbents/State Canvas/Topic Slide 4/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 8 CO2 Absorbents/State Canvas/Topic Slide 3 (1)/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 8 CO2 Absorbents/State Canvas/Topic Slide 7/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 4 Anesthetic Delivery/State Canvas/State 3 - 4/4 PLOTS/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 1 Intro KOREAN/State Canvas/Why Bother-2/Back UI Arrow Button/Text","뒤로",Korean LFA ASA 2022,Y,"뒤로"
"APSF Logo and About/About Detail/Close About Button/Text","OK",Korean LFA ASA 2022,Y,"OK"
"LFA Case 4 Anesthetic Delivery/State Canvas/State 3 - 1/4/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 1 Intro KOREAN/State Canvas/ScopeandApproach-1/Back UI Arrow Button/Text","뒤로",Korean LFA ASA 2022,Y,"뒤로"
"LFA Case 4 Anesthetic Delivery/State Canvas/State 3 - 2/4/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 0 Help and Tour/State Canvas/Modeling SubPage/Modeling Title ","Patient Modeling",Korean LFA ASA 2022,Y,"Pemodelan Pasien"
"LFA Case 8 CO2 Absorbents/State Canvas/Topic Slide 8/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 8 CO2 Absorbents/State Canvas/Topic Slide 5/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"Help Canvas/Exit Help Button - Back to ASA/Text","Exit Help",Korean LFA ASA 2022,Y,"Keluar Bantuan"
"LFA Case 1 Intro KOREAN/State Canvas/PracticingArt-3/Back UI Arrow Button/Text","뒤로",Korean LFA ASA 2022,Y,"뒤로"
"LFA Case 7 Emergence/State Canvas/  (Hidden) Maintenance 3/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 7 Emergence/State Canvas/State 3 - 7/7 PLOTS 3/Plots Back UI Arrow Button (8)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 1 Intro KOREAN/State Canvas/PracticingArt-2/Continue UI Arrow Button/Text","계속하다",Korean LFA ASA 2022,Y,"계속하다"
"LFA Case 1 Intro KOREAN/State Canvas/PracticingArt-3/Continue UI Arrow Button/Text","계속하다",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 3 Oxygen Delivery/State Canvas/State 3 - 6/9 PLOTS/Plots Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 4 Anesthetic Delivery/State Canvas/Second Topic Slide after State 3/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 7 Emergence/State Canvas/  (Hidden) Maintenance 1/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 1 Intro KOREAN/State Canvas/UsefulDefinitions-2/Continue UI Arrow Button/Text","계속하다",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 1 Intro KOREAN/State Canvas/PracticingArt-1/Continue UI Arrow Button/Text","계속
",Korean LFA ASA 2022,Y,"Lanjut"
"Tour UI Canvas/Tour Of Sim/Help/Proceed to LMS (1)/Text","PROCEED to Next Topic",Korean LFA ASA 2022,Y,"LANJUTKAN ke Topik Berikutnya"
"LFA Case 4 Anesthetic Delivery/State Canvas/Second Topic Slide after State 3/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 7 Emergence/State Canvas/State 3 - 5/7 PLOTS 1/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"Main UI Canvas/Plots Button/Click to Plots Button/Text","Plots",Korean LFA ASA 2022,Y,"Plot"
"LFA Case 4 Anesthetic Delivery/State Canvas/First Topic Slide after 2b (1)/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 4 Anesthetic Delivery/State Canvas/First Topic Slide after 2b/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Initial Blank State/State Canvas/Gas Sampling off/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 8 CO2 Absorbents/State Canvas/Topic Slide 9/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"Main UI Canvas/Explore on your Own/Button - Return to Guided/Text - Explore on your own","Return To
Guided
Simulation",Korean LFA ASA 2022,Y,"Kembali Ke
Simulasi
Terpandu"
"LFA Case 5 Maintenance/State Canvas/NewState 3 - 5/5 - PLOTS/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 8 CO2 Absorbents/State Canvas/Topic Slide 4/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 5 Maintenance/State Canvas/NewState 3 - 5/5 - PLOTS/Plots Back UI Arrow Button (4)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 8 CO2 Absorbents/State Canvas/Topic Slide 2/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 1 Intro KOREAN/State Canvas/AnatomyofCourse/Back UI Arrow Button/Text","뒤로",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 7 Emergence/State Canvas/  (Hidden) Induction 2/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"Tour UI Canvas/Tour Of Sim/Exit Help button - Back to ASA/Text","Exit Help",Korean LFA ASA 2022,Y,"Keluar Bantuan"
"LFA Case 4 Anesthetic Delivery/State Canvas/State 3 - 2/4/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 4 Anesthetic Delivery/State Canvas/State 2 - 5/5 PLOTS/Plots Back UI Arrow Button (4)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 1 Intro KOREAN/State Canvas/ScopeandApproach-2/Back UI Arrow Button/Text","뒤로",Korean LFA ASA 2022,Y,"뒤로"
"LFA Case 5 Maintenance/State Canvas/Topic Slide 5 What if FGF too low?/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 8 CO2 Absorbents/State Canvas/Topic Slide 10/Continue UI Arrow Button (3)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 8 CO2 Absorbents/State Canvas/Topic Slide 6/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"Main UI Canvas/Plots Button/Click to Anesthesia Machine Button/Text","Anesthesia
Machine
Simulation",Korean LFA ASA 2022,Y,"Simulasi
Mesin
Anestesi"
"LFA Case 7 Emergence/State Canvas/State 2 - 5/5 Plots/Plots Back UI Arrow Button (5)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"Tour UI Canvas/Tour Of Sim/Plots 6/Main/(dummy) Click to Anesthesia Machine Button (4)/Text","Anesthesia
Machine
Simulation",Korean LFA ASA 2022,Y,"Simulasi
Mesin
Anestesi"
"LFA Case 7 Emergence/State Canvas/  (Hidden) Maintenance 3/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 1 Intro/State Canvas/AnatomyofCourse-2/Help Button (1)/Text","Help",Korean LFA ASA 2022,Y,"Bantuan"
"LFA Case 4 Anesthetic Delivery/State Canvas/State 2 - 4/5 PLOTS/Plots Back UI Arrow Button (4)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 0 Help and Tour/State Canvas/ExploreOnYourOwnSubPage/Continue UI Arrow Button (3)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 4 Anesthetic Delivery/State Canvas/State 3 - 3/4/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 4 Anesthetic Delivery/State Canvas/State 1 - 3/3 Hidden Snapshot/Plots Back UI Arrow Button (4)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 4 Anesthetic Delivery/State Canvas/First Topic Slide after 2b (1)/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 1 Intro KOREAN/State Canvas/PracticingArt-1/Back UI Arrow Button/Text","뒤로",Korean LFA ASA 2022,Y,"뒤로"
"LFA Case 5 Maintenance/State Canvas/Topic Slide 6 last/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 3 Oxygen Delivery/State Canvas/State 3 - 3/9 Take Snapshot/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 4 Anesthetic Delivery/State Canvas/State 1 - 3/3 Hidden Snapshot/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 8 CO2 Absorbents/State Canvas/Topic Slide 3 (1)/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 1 Intro KOREAN/State Canvas/PracticingArt-4/Back UI Arrow Button/Text","뒤로",Korean LFA ASA 2022,Y,"뒤로"
"LFA Initial Blank State/State Canvas/Gas Sampling off/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 7 Emergence/State Canvas/State 3 - 7/7 PLOTS 3/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 1 Intro KOREAN/State Canvas/Why Bother-1/Back UI Arrow Button/Text","뒤로",Korean LFA ASA 2022,Y,"뒤로"
"LFA Case 8 CO2 Absorbents/State Canvas/Topic Slide 6/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 0 Help and Tour/State Canvas/ExploreOnYourOwnSubPage/Back UI Arrow Button (3)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"Main UI Canvas/Returning to Guided Simulation/Text","Returning to Guided Simulation...",Korean LFA ASA 2022,Y,"Kembali ke Simulasi Terpandu..."
"LFA Case 5 Maintenance/State Canvas/State 1 - 7/7 - PLOTS/Plots Back UI Arrow Button (3)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"Main UI Canvas/FPS on screen","30",Korean LFA ASA 2022,Y,"30"
"Tour UI Canvas/Tour Of Sim/Introduction/Back UI Arrow Button to Help Canvas/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 4 Anesthetic Delivery/State Canvas/State 3 - 1/4/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 5 Maintenance/State Canvas/NewState 3 - 5/5 - PLOTS/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 7 Emergence/State Canvas/State 2 - 5/5 Plots/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
